"X.Phenotype.","DTF_WS20"
"IRIS 313-8791",116.46
"IRIS 313-10352",101.53
"IRIS 313-10412",94.05
"IRIS 313-10285",88.84
"IRIS 313-10421",90.32
"IRIS 313-9939",90.32
"IRIS 313-9817",96.22
"IRIS 313-9039",95.54
"IRIS 313-8324",87.33
"IRIS 313-7641",88.09
"IRIS 313-7668",91.48
"IRIS 313-7681",92.57
"IRIS 313-7685",95.54
"IRIS 313-7698",89.98
"IRIS 313-7699",89.59
"IRIS 313-7924",90.73
"IRIS 313-7719",102.26
"IRIS 313-7993",94.07
"IRIS 313-7808",88.84
"IRIS 313-7826",97.71
"IRIS 313-9091",101.93
"IRIS 313-8412",88.09
"IRIS 313-8986",91.06
"IRIS 313-9053",91.06
"IRIS 313-9347",97.78
"IRIS 313-8844",95.21
"IRIS 313-8850",94.05
"IRIS 313-9148",99.69
"IRIS 313-9067",99.27
"IRIS 313-9348",97.71
"IRIS 313-9637",97.8
"IRIS 313-10071",101.18
"IRIS 313-10272",89.59
"IRIS 313-9023",93.32
"IRIS 313-10109",96.3
"IRIS 313-8909",104.52
"IRIS 313-9139",98.54
"IRIS 313-9602",90.32
"IRIS 313-10224",90.25
"IRIS 313-9032",97.03
"IRIS 313-9281",100.03
"IRIS 313-9121",92.22
"IRIS 313-10026",97.45
"IRIS 313-9968",102.27
"IRIS 313-9696",101.93
"IRIS 313-9492",87.35
"IRIS 313-10032",103.77
"IRIS 313-9570",89.24
"IRIS 313-9882",90.33
"IRIS 313-8873",110.47
"IRIS 313-8920",94.46
"IRIS 313-10234",91.48
"IRIS 313-9898",101.45
"IRIS 313-10035",96.7
"IRIS 313-9604",97.45
"IRIS 313-10129",88.82
"IRIS 313-10247",90.73
"IRIS 313-10337",93.24
"IRIS 313-10002",96.84
"IRIS 313-10325",97.03
"IRIS 313-10348",86.25
"IRIS 313-10263",102.27
"IRIS 313-10271",95.47
"IRIS 313-10275",103.77
"IRIS 313-10314",89.59
"IRIS 313-8392",90.73
"IRIS 313-10294",91
"IRIS 313-10366",90.33
"IRIS 313-10374",92.49
"IRIS 313-10396",94.07
"IRIS 313-10402",89.98
"IRIS 313-9623",100.78
"IRIS 313-10360",109
"IRIS 313-10385",93.3
"IRIS 313-9522",101.53
"IRIS 313-10318",89.98
"IRIS 313-8380",90.32
"IRIS 313-9259",99.69
"IRIS 313-8985",112.72
"IRIS 313-9258",98.19
"IRIS 313-9926",114.14
"IRIS 313-9935",103.02
"IRIS 313-8783",93.98
"IRIS 313-8621",104.52
"IRIS 313-8699",109
"IRIS 313-8751",102.27
"IRIS 313-8679",94.06
"IRIS 313-9342",96.84
"IRIS 313-8737",100.03
"IRIS 313-9944",100.78
"IRIS 313-15899",98.53
"IRIS 313-15902",99.21
"IRIS 313-8948",93.31
"IRIS 313-9617",106.74
"IRIS 313-7722",94.73
"IRIS 313-10340",95.21
"IRIS 313-10361",86.6
"IRIS 313-8768",102.26
"IRIS 313-10287",102.28
"IRIS 313-11821",96.7
"IRIS 313-12067",91.06
"IRIS 313-11510",96.22
"IRIS 313-11523",101.45
"IRIS 313-10527",106.67
"IRIS 313-11745",88.84
"IRIS 313-12234",77.64
"IRIS 313-10671",86.6
"IRIS 313-10857",93.24
"IRIS 313-10858",90.33
"IRIS 313-10879",88.08
"IRIS 313-11302",98.54
"IRIS 313-11306",96.84
"IRIS 313-11490",82.86
"IRIS 313-12148",112.72
"IRIS 313-11160",108.25
"IRIS 313-11572",89.59
"IRIS 313-11563",98.54
"IRIS 313-11515",95.54
"IRIS 313-11606",90.32
"IRIS 313-11070",88.84
"IRIS 313-11423",93.32
"IRIS 313-11902",99.21
"IRIS 313-11714",93.98
"IRIS 313-11625",93.24
"IRIS 313-11855",90.33
"IRIS 313-12078",89.5
"IRIS 313-11957",106.74
"IRIS 313-12015",94.05
"IRIS 313-12221",91.48
"IRIS 313-12259",103.77
"IRIS 313-12053",91.83
"IRIS 313-11607",104.5
"IRIS 313-11887",91.74
"IRIS 313-11516",116.46
"IRIS 313-11432",115.36
"IRIS 313-11930",91.06
"IRIS 313-11538",93.98
"IRIS 313-11027",92.49
"IRIS 313-11505",90.73
"IRIS 313-11067",87.74
"IRIS 313-11939",102.26
"IRIS 313-11091",101.53
"IRIS 313-11565",95.55
"IRIS 313-11543",92.49
"IRIS 313-11750",92.57
"IRIS 313-12301",96.29
"IRIS 313-11234",95.47
"IRIS 313-12297",88.84
"IRIS 313-10609",93.32
"IRIS 313-12082",92.97
"IRIS 313-11785",102.19
"IRIS 313-11811",102.28
"IRIS 313-10733",92.49
"IRIS 313-11889",91.08
"IRIS 313-12355",91
"IRIS 313-10683",102.27
"IRIS 313-11683",114.96
"IRIS 313-11558",97.45
"IRIS 313-10516",93.98
"IRIS 313-10978",88.82
"IRIS 313-12319",107.49
"IRIS 313-11844",93.98
"IRIS 313-11006",103.77
"IRIS 313-12296",88.09
"IRIS 313-11162",93.31
"IRIS 313-12308",103.01
"IRIS 313-11733",86.6
"IRIS 313-12269",94.06
"IRIS 313-11716",87.26
"IRIS 313-11237",91.08
"IRIS 313-11990",88.09
"IRIS 313-10560",93.98
"IRIS 313-12133",101.93
"IRIS 313-12232",90.32
"IRIS 313-12270",93.32
"IRIS 313-11996",87.74
"IRIS 313-11461",88.09
"IRIS 313-12283",93.72
"IRIS 313-11955",91.74
"IRIS 313-11910",94.05
"IRIS 313-11911",89.58
"IRIS 313-11036",91.08
"IRIS 313-11403",93.32
"IRIS 313-11126",103.77
"IRIS 313-11292",93.98
"IRIS 313-10859",92.22
"IRIS 313-10863",95.55
"IRIS 313-10885",91.48
"IRIS 313-10896",89.59
"IRIS 313-11263",91.48
"IRIS 313-11267",100.04
"IRIS 313-11301",99.69
"IRIS 313-11305",93.98
"IRIS 313-11310",85.5
"IRIS 313-11288",96.3
"IRIS 313-10668",102.94
"IRIS 313-12109",96.7
"IRIS 313-10448",114.22
"IRIS 313-10983",97.71
"IRIS 313-11241",101.53
"IRIS 313-11353",97.78
"IRIS 313-11375",88.09
"IRIS 313-11240",95.21
"IRIS 313-10899",111.63
"IRIS 313-11193",95.21
"IRIS 313-11203",98.46
"IRIS 313-10989",98.54
"IRIS 313-10694",97.71
"IRIS 313-11129",105.66
"IRIS 313-10775",111.98
"IRIS 313-11361",114.22
"IRIS 313-11934",94.46
"IRIS 313-11204",91
"IRIS 313-10575",103.01
"IRIS 313-11090",100.04
"IRIS 313-11363",97.03
"IRIS 313-10929",98.19
"IRIS 313-10904",98.46
"IRIS 313-11206",101.53
"IRIS 313-10555",101.45
"IRIS 313-10907",109.72
"IRIS 313-11135",112.38
"IRIS 313-11339",95.54
"IRIS 313-11341",110.47
"IRIS 313-10755",112.71
"IRIS 313-11136",97.45
"IRIS 313-11137",98.54
"IRIS 313-11138",103.77
"IRIS 313-11139",107.15
"IRIS 313-11140",112.38
"IRIS 313-11207",100.03
"IRIS 313-11208",114.22
"IRIS 313-11235",95.21
"IRIS 313-11420",112.72
"IRIS 313-11227",103.77
"IRIS 313-11392",93.98
"IRIS 313-11344",91
"IRIS 313-10811",111.24
"IRIS 313-11142",98.54
"IRIS 313-11229",91.06
"IRIS 313-11402",94.79
"IRIS 313-11144",103.42
"IRIS 313-11145",111.96
"IRIS 313-12284",94.46
"IRIS 313-11101",111.96
"IRIS 313-11754",94.07
"IRIS 313-10881",97.71
"IRIS 313-10883",99.27
"IRIS 313-11890",93.24
"IRIS 313-10449",90.32
"IRIS 313-10543",84.01
"IRIS 313-12180",87.74
"IRIS 313-11793",101.93
"IRIS 313-11849",111.9
"IRIS 313-11808",101.18
"IRIS 313-11549",92.49
"IRIS 313-10917",82.86
"IRIS 313-11767",97.78
"IRIS 313-10725",101.93
"IRIS 313-11236",96.29
"IRIS 313-8349",98.53
"IRIS 313-8458",97.78
"IRIS 313-11674",103.77
"IRIS 313-11757",93.98
"IRIS 313-12220",90.73
"IRIS 313-11998",100.04
"IRIS 313-11988",111.63
"IRIS 313-11509",97.03
"IRIS 313-11914",91.06
"IRIS 313-11131",90.32
"IRIS 313-11393",117.12
"IRIS 313-12151",91.08
"IRIS 313-11554",99.21
"IRIS 313-10855",97.71
"IRIS 313-12028",97.05
"IRIS 313-10720",96.3
"IRIS 313-10797",85.1
"IRIS 313-12291",90.32
"IRIS 313-11078",111.15
"IRIS 313-10648",102.19
"IRIS 313-11346",93.98
"IRIS 313-11813",99.29
"IRIS 313-11542",105.99
"IRIS 313-11925",88.82
"IRIS 313-10768",102.27
"IRIS 313-10985",93.98
"IRIS 313-11551",90.33
"IRIS 313-12000",92.49
